Date,A,B,C
2001-07-02,10.000,10.000,
2001-07-31,10.002,9.820,
2001-08-31,9.891,9.434,
2001-09-30,9.758,9.038,
2001-10-31,9.979,9.281,
2001-11-30,10.050,9.503,
2001-12-31,10.011,9.574,
2002-01-31,10.001,9.478,
2002-02-28,9.993,9.441,
2002-03-31,10.002,9.574,
2002-04-30,9.951,9.331,
2002-05-31,9.907,9.191,
2002-06-30,9.843,8.844,
2002-07-31,9.754,8.480,
2002-08-31,9.878,8.568,
2002-09-30,9.742,8.065,
2002-10-31,9.897,8.433,
2002-11-30,10.019,8.628,
2002-12-31,9.982,8.330,
2003-01-31,9.952,8.138,
2003-02-28,9.973,8.062,
2003-03-31,9.887,7.929,
2003-04-30,10.071,8.276,
2003-05-31,10.231,8.358,
2003-06-30,10.313,8.544,
2003-07-31,10.284,8.646,
2003-08-31,10.371,8.803,
2003-09-30,10.348,8.601,
2003-10-31,10.384,8.817,
2003-11-30,10.364,8.804,
2003-12-31,10.496,8.954,
2004-01-31,10.612,9.113,
2004-02-29,10.741,9.226,
2004-03-31,10.794,9.230,
2004-04-30,10.730,9.210,
2004-05-31,10.673,9.152,
2004-06-30,10.774,9.285,
2004-07-31,10.782,9.199,
2004-08-31,10.865,9.209,
2004-09-30,10.897,9.234,
2004-10-31,11.008,9.342,
2004-11-30,11.122,9.439,
2004-12-31,11.210,9.550,
2005-01-31,11.356,9.684,
2005-02-28,11.341,9.740,
2005-03-31,11.392,9.773,
2005-04-30,11.448,9.704,
2005-05-31,11.664,10.039,
2005-06-30,11.826,10.239,
2005-07-31,11.880,10.400,
2005-08-31,11.953,10.427,
2005-09-30,12.063,10.657,
2005-10-31,11.915,10.482,
2005-11-30,12.026,10.721,
2005-12-31,12.169,10.918,
2006-01-31,12.186,11.044,
2006-02-28,12.253,11.169,
2006-03-31,12.174,11.201,
2006-04-30,12.114,11.164,
2006-05-31,11.994,10.890,
2006-06-30,12.002,10.928,
2006-07-31,12.095,11.005,
2006-08-31,12.252,11.195,
2006-09-30,12.365,11.362,
2006-10-31,12.472,11.550,
2006-11-30,12.504,11.553,
2006-12-31,12.474,11.670,
2007-01-31,12.507,11.790,
2007-02-28,12.556,11.743,
2007-03-31,12.551,11.813,
2007-04-30,12.618,11.994,
2007-05-31,12.630,12.180,
